num_eventos,dia_semana,fecha,ultima_palabra_fecha,hora,descripcion,anio,mes_y_ano
1 evento,miércoles,28 de abril,abril,08:00,Presidente Francisco Sagasti lidera Sesión del Consejo de Ministros,2021,Mayo de 2021
1 evento,jueves,29 de abril,abril,07:00,"El presidente Francisco Sagasti visita la región Cusco paraentregar 17,550 dosis de vacunas de Pfizer para inmunizar a adultos mayores. Además, supervisa vacunación en el colegio de Señoritas Educandas y realiza la suscripción de acuerdos de conservación entre el SERNANP (Parque Nacional del Manu), Amarumayu Sac y Asociación de Agroexportadores Ukumari Paucartambo.",2021,Mayo de 2021
3 eventos,viernes,30 de abril,abril,11:00,Presidente Francisco Sagasti participa en la Conmemoración del X Aniversario de la Alianza del Pacífico con diversos representantes de la región.,2021,Mayo de 2021
3 eventos,viernes,30 de abril,abril,16:00,Presidente Francisco Sagasti lidera ceremonia de Aniversario de Incorporación de la mujer a la Policía Nacional del Perú.,2021,Mayo de 2021
3 eventos,viernes,30 de abril,abril,16:30,"Presidente Francisco Sagasti encabeza ceremonia de entrega de la Orden del Trabajo del Ministerio de Trabajo y Promoción del Empleo, a 11 destacados ciudadanos. .",2021,Mayo de 2021
1 evento,domingo,2 de mayo,mayo,20:00,Presidente Francisco Sagasti brinda entrevista presencial a programa dominical Punto Final en Latina.,2021,Mayo de 2021
2 eventos,lunes,3 de mayo,mayo,11:00,"El presidente Francisco Sagasti, junto con la titular del Midis, Silvana Vargas, supervisó la entrega de alimentos de Qali Warma para la atención de personas vulnerables del distrito de Ventanilla.",2021,Mayo de 2021
2 eventos,lunes,3 de mayo,mayo,12:00,"El jefe de Estado, Francisco Sagasti, acompañado por el titular del MTC, supervisa el inicio del proyecto de banda ancha en la región Lima (Antioquía).",2021,Mayo de 2021
2 eventos,martes,4 de mayo,mayo,07:00,"Presidente Francisco Sagasti visita la región Ancash llevando más dosis de vacunas para adultos mayores. Además, supervisará el protocolo de cadena de frío para vacunas, entrega equipamiento médico UCI a la Diresa Áncash. Y finalmente, acompañado por el ministro de Salud y el gobernador regional encargado de Áncash, supervisa el proceso de vacunación a los adultos mayores en el colegio Nuestra Señora del Sagrado Corazón de Jesús.",2021,Mayo de 2021
2 eventos,martes,4 de mayo,mayo,17:00,"El presidente Francisco Sagasti sostuvo una nueva reunión de trabajo con la Comisión Especial COVID-19 del Congreso, donde se presentaron los avances de las acciones conjuntas en atención a las demandas del Legislativo durante el estado de emergencia.",2021,Mayo de 2021
1 evento,jueves,6 de mayo,mayo,08:00,"El presidente Francisco Sagasti visita la región Junín, y junto con el titular del Mininter, José Elice, supervisa la donación de explosivos por parte de la Sucamec a la Dirandro PNP. Además, acompañado por seis ministros de Estado, lidera el diálogo entre el Ejecutivo y organizaciones indígenas de la selva central.",2021,Mayo de 2021
2 eventos,viernes,7 de mayo,mayo,08:30,Presidente Francisco Sagasti lidera IV SESIÓN DEL CONSEJO PARA LA REFORMA DEL SISTEMA DE JUSTICIA en la que participan diversas autoridades.,2021,Mayo de 2021
2 eventos,viernes,7 de mayo,mayo,11:30,"El presidente Francisco Sagasti visita el Laboratorio de Biomedicina del Instituto Nacional de Salud, acompañado por el Ministro de Salud, Óscar Ugarte Ubilluz y elJefe del Instituto Nacional de Salud, Víctor Suarez Moreno.",2021,Mayo de 2021
1 evento,lunes,10 de mayo,mayo,07:30,"El presidente Francisco Sagasti, junto con la titular del Mindef, Nuria Esparch, visitó el Comando Especial - Valle de los Ríos Apurímac, Ene y Mantaro (CE-VRAEM) y supervisó el proceso de vacunación contra la COVID-19.",2021,Mayo de 2021
1 evento,martes,11 de mayo,mayo,12:00,"El presidente Francisco Sagasti, junto con el titular del Minsa, Óscar Ugarte, supervisa la vacunación contra la COVID-19 a los adultos con síndrome de Down.",2021,Mayo de 2021
1 evento,miércoles,12 de mayo,mayo,09:00,Presidente Francisco Sagasti lidera sesión del Consejo de Ministros,2021,Mayo de 2021
2 eventos,jueves,13 de mayo,mayo,09:00,"El presidente Francisco Sagasti, junto con el titular del Minam, Gonzalo Quijandria, lideró la puesta en funcionamiento del sistema integral de gestión de residuos para la ciudad de Huaura, en la región Lima.",2021,Mayo de 2021
2 eventos,jueves,13 de mayo,mayo,18:00,"Señor Presidente de la República, Francisco Sagasti, brinda discurso de clausura del CADE Digital 2021.",2021,Mayo de 2021
2 eventos,viernes,14 de mayo,mayo,07:00,"El Presidente Francisco Sagasti visita la región Amazonas para cumplir las siguientes actividades: Entrega del Sello Safe Travels al destino turístico de la zona arqueológica monumental de Kuélap; Supervisión de las actividades de limpieza, mantenimiento y acondicionamiento del Monumento Histórico Pozo de Yanayacu de la ciudad de Chachapoyas; Supervisión de la jornada de vacunación de adultos mayores y entrega de equipamiento médico en la región Amazonas; y Reunión de trabajo con el Gobernador Regional de Amazonas.",2021,Mayo de 2021
2 eventos,viernes,14 de mayo,mayo,18:00,El presidente Francisco Sagasti lidera Sesión Solemne del Acuerdo Nacional en Homenaje a Rafael Roncagliolo Orbegoso.,2021,Mayo de 2021
1 evento,lunes,17 de mayo,mayo,08:00,"El presidente Francisco Sagasti lideró una nueva sesión del Consejo de Estado donde se abordaron diversos temas, entre ellos, las acciones y disposiciones del gobierno frente a la pandemia.",2021,Mayo de 2021
1 evento,miércoles,19 de mayo,mayo,09:00,Presidente Francisco Sagasti lidera sesión del Consejo de Ministros,2021,Mayo de 2021
